[I 2025-04-07 02:55:29,052] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:37:26,136] Trial 259 finished with value: 0.8167940519557657 and parameters: {'iterations': 186, 'learning_rate': 0.295741658242687, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4811985600023403, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9435686216695824}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:37:49,928] Trial 263 finished with value: 0.8200224756221214 and parameters: {'iterations': 189, 'learning_rate': 0.2025900059756449, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5061586861024115, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9331531477802163}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:38:17,235] Trial 266 finished with value: 0.8196031532647643 and parameters: {'iterations': 183, 'learning_rate': 0.19632855903560548, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7597102554097328, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9145397910776936}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:38:38,808] Trial 272 finished with value: 0.8175909612501998 and parameters: {'iterations': 178, 'learning_rate': 0.1407557676849384, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.46502484844853376, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9629380664668681}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:39:00,636] Trial 274 finished with value: 0.818764736996561 and parameters: {'iterations': 174, 'learning_rate': 0.16221434845976695, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.521009817343173, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9649182869340662}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:39:25,473] Trial 280 finished with value: 0.8181778579097847 and parameters: {'iterations': 192, 'learning_rate': 0.1798200181152673, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5547611614302064, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9328513464070648}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:39:46,672] Trial 285 finished with value: 0.8187226501201101 and parameters: {'iterations': 170, 'learning_rate': 0.2479645182576827, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4920268721109986, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9820693232216767}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:40:12,096] Trial 289 finished with value: 0.8198545147181058 and parameters: {'iterations': 187, 'learning_rate': 0.2871502004737313, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5750649800497755, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9045262329158757}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:40:36,635] Trial 292 finished with value: 0.819016274177988 and parameters: {'iterations': 187, 'learning_rate': 0.28403878122543863, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5788706828448522, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8830694744759191}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:41:15,038] Trial 297 finished with value: 0.8203159590975309 and parameters: {'iterations': 176, 'learning_rate': 0.21905128460223267, 'objective': 'Logloss', 'colsample_bylevel': 0.6036746780237179, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9500065856880701}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:41:54,878] Trial 302 finished with value: 0.8178842865703325 and parameters: {'iterations': 176, 'learning_rate': 0.20181646519440335, 'objective': 'Logloss', 'colsample_bylevel': 0.6040370862483952, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9539083597394002}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:43:05,919] Trial 304 finished with value: 0.8193514755008691 and parameters: {'iterations': 175, 'learning_rate': 0.19875025737809654, 'objective': 'Logloss', 'colsample_bylevel': 0.6358579498231739, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9299589165132652}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:45:22,042] Trial 308 finished with value: 0.8169619777141642 and parameters: {'iterations': 238, 'learning_rate': 0.2560274404444678, 'objective': 'Logloss', 'colsample_bylevel': 0.5337513288725281, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9678995111249137}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:45:49,104] Trial 316 finished with value: 0.8186387575321451 and parameters: {'iterations': 196, 'learning_rate': 0.18359319529997423, 'objective': 'Logloss', 'colsample_bylevel': 0.5114483299226772, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9928050030056637}. Best is trial 224 with value: 0.8208191388972359.
