[I 2025-04-07 06:01:59,126] A new study created in RDB with name: xgboost
[I 2025-04-07 06:06:15,521] Trial 54 finished with value: 0.8177584476883849 and parameters: {'max_depth': 18, 'learning_rate': 0.041156709555051865, 'n_estimators': 66, 'gamma': 0.2514319634557887, 'min_child_weight': 5, 'subsample': 0.8956510373758738, 'colsample_bytree': 0.7407705834544828}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:21,900] Trial 55 finished with value: 0.8185548473713714 and parameters: {'max_depth': 29, 'learning_rate': 0.01963203616776471, 'n_estimators': 222, 'gamma': 0.3665207838610851, 'min_child_weight': 6, 'subsample': 0.750882612500038, 'colsample_bytree': 0.6531864723956966}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:26,923] Trial 56 finished with value: 0.819645011694704 and parameters: {'max_depth': 29, 'learning_rate': 0.020493488316132645, 'n_estimators': 195, 'gamma': 0.2997494362842258, 'min_child_weight': 7, 'subsample': 0.7458240358685714, 'colsample_bytree': 0.6079176711135934}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:32,045] Trial 57 finished with value: 0.8158299373880832 and parameters: {'max_depth': 27, 'learning_rate': 0.016628975322180644, 'n_estimators': 148, 'gamma': 0.3795227290752847, 'min_child_weight': 7, 'subsample': 0.9698639715887485, 'colsample_bytree': 0.590882254190964}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:36,302] Trial 58 finished with value: 0.8194355086713024 and parameters: {'max_depth': 32, 'learning_rate': 0.02235005681830015, 'n_estimators': 193, 'gamma': 0.29683407894625524, 'min_child_weight': 7, 'subsample': 0.5268889287502598, 'colsample_bytree': 0.6156892874938956}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:40,769] Trial 59 finished with value: 0.6672954041833828 and parameters: {'max_depth': 31, 'learning_rate': 0.0021386205952182006, 'n_estimators': 196, 'gamma': 0.3059190333985389, 'min_child_weight': 7, 'subsample': 0.5205316351852128, 'colsample_bytree': 0.6046678479084583}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:45,113] Trial 60 finished with value: 0.8178423578491586 and parameters: {'max_depth': 32, 'learning_rate': 0.02543743390620181, 'n_estimators': 194, 'gamma': 0.28156797103049913, 'min_child_weight': 7, 'subsample': 0.5310439835988294, 'colsample_bytree': 0.5536196196398002}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:51,609] Trial 61 finished with value: 0.8191838133345986 and parameters: {'max_depth': 29, 'learning_rate': 0.02080308836490733, 'n_estimators': 227, 'gamma': 0.36163097023755364, 'min_child_weight': 7, 'subsample': 0.8209129382497935, 'colsample_bytree': 0.6506728103694468}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:57,061] Trial 62 finished with value: 0.8095415781436437 and parameters: {'max_depth': 30, 'learning_rate': 0.006499522437484871, 'n_estimators': 214, 'gamma': 0.3392424832429555, 'min_child_weight': 7, 'subsample': 0.8185436322943801, 'colsample_bytree': 0.6194422785443345}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:02,169] Trial 63 finished with value: 0.8167523692539111 and parameters: {'max_depth': 25, 'learning_rate': 0.010835000025322384, 'n_estimators': 171, 'gamma': 0.31178967953096115, 'min_child_weight': 7, 'subsample': 0.8462507725385713, 'colsample_bytree': 0.6660665469336999}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:06,589] Trial 64 finished with value: 0.8158719188276828 and parameters: {'max_depth': 28, 'learning_rate': 0.04477248189157968, 'n_estimators': 158, 'gamma': 0.23787501339908518, 'min_child_weight': 7, 'subsample': 0.8829781141876663, 'colsample_bytree': 0.5577176986228213}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:11,473] Trial 65 finished with value: 0.8132729355903849 and parameters: {'max_depth': 32, 'learning_rate': 0.07250799721913025, 'n_estimators': 186, 'gamma': 0.4050946811989571, 'min_child_weight': 7, 'subsample': 0.8045653647603379, 'colsample_bytree': 0.6272235045875593}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:15,273] Trial 66 finished with value: 0.819519453977693 and parameters: {'max_depth': 26, 'learning_rate': 0.025746663565505232, 'n_estimators': 138, 'gamma': 0.204810153651428, 'min_child_weight': 7, 'subsample': 0.842921252911441, 'colsample_bytree': 0.5877888042526042}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:19,131] Trial 67 finished with value: 0.817171744329694 and parameters: {'max_depth': 26, 'learning_rate': 0.025235261245464602, 'n_estimators': 133, 'gamma': 0.15201162528686876, 'min_child_weight': 7, 'subsample': 0.9032179923487672, 'colsample_bytree': 0.6331705220847408}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:22,662] Trial 68 finished with value: 0.8175070159438093 and parameters: {'max_depth': 25, 'learning_rate': 0.03424826613440039, 'n_estimators': 106, 'gamma': 0.1989661671144659, 'min_child_weight': 7, 'subsample': 0.9295955423748924, 'colsample_bytree': 0.5885351390510424}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:26,585] Trial 69 finished with value: 0.8166685821027974 and parameters: {'max_depth': 29, 'learning_rate': 0.01769179683940035, 'n_estimators': 139, 'gamma': 0.29215763433354724, 'min_child_weight': 7, 'subsample': 0.83700421455651, 'colsample_bytree': 0.5752410862326572}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:32,309] Trial 70 finished with value: 0.8183875190884633 and parameters: {'max_depth': 24, 'learning_rate': 0.013401207693729373, 'n_estimators': 227, 'gamma': 0.2005549871938985, 'min_child_weight': 6, 'subsample': 0.5580474253557378, 'colsample_bytree': 0.6131834620900328}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:35,952] Trial 71 finished with value: 0.8152851451777577 and parameters: {'max_depth': 31, 'learning_rate': 0.058643685890828856, 'n_estimators': 123, 'gamma': 0.1535752841563262, 'min_child_weight': 7, 'subsample': 0.8537596945380179, 'colsample_bytree': 0.5188409538062715}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:43,065] Trial 72 finished with value: 0.8172550745877858 and parameters: {'max_depth': 28, 'learning_rate': 0.02450466501315003, 'n_estimators': 199, 'gamma': 0.2679515484164893, 'min_child_weight': 4, 'subsample': 0.7852534547717103, 'colsample_bytree': 0.6654578310958517}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:47,812] Trial 73 finished with value: 0.7909693864102443 and parameters: {'max_depth': 26, 'learning_rate': 0.005009848327198696, 'n_estimators': 176, 'gamma': 0.3531133779278516, 'min_child_weight': 7, 'subsample': 0.8759685198294642, 'colsample_bytree': 0.5731236286523445}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:52,708] Trial 74 finished with value: 0.8087448445772949 and parameters: {'max_depth': 30, 'learning_rate': 0.11589597980404012, 'n_estimators': 186, 'gamma': 0.33489557689460664, 'min_child_weight': 6, 'subsample': 0.7209424113915236, 'colsample_bytree': 0.6450899644753334}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:07:58,265] Trial 75 finished with value: 0.6377394866279713 and parameters: {'max_depth': 27, 'learning_rate': 6.815953213334388e-05, 'n_estimators': 218, 'gamma': 0.1030741072852778, 'min_child_weight': 7, 'subsample': 0.8287852413691672, 'colsample_bytree': 0.7955886179132241}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:08:00,460] Trial 76 finished with value: 0.8180523177655823 and parameters: {'max_depth': 29, 'learning_rate': 0.037921962073757115, 'n_estimators': 82, 'gamma': 0.17534021348043002, 'min_child_weight': 6, 'subsample': 0.5025605213424604, 'colsample_bytree': 0.8127573788851358}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:08:05,765] Trial 77 finished with value: 0.8097930801794536 and parameters: {'max_depth': 31, 'learning_rate': 0.00843008876435742, 'n_estimators': 158, 'gamma': 0.29508699124133936, 'min_child_weight': 4, 'subsample': 0.5225307064107699, 'colsample_bytree': 0.7069591399466164}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:08:09,629] Trial 78 finished with value: 0.7960001300387832 and parameters: {'max_depth': 23, 'learning_rate': 0.013029486882788974, 'n_estimators': 100, 'gamma': 0.2408454158083355, 'min_child_weight': 3, 'subsample': 0.7663979514112599, 'colsample_bytree': 0.5374166835390191}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:08:13,444] Trial 79 finished with value: 0.8073612846425954 and parameters: {'max_depth': 32, 'learning_rate': 0.1575672664710362, 'n_estimators': 150, 'gamma': 0.32581140800764874, 'min_child_weight': 7, 'subsample': 0.5384420845071066, 'colsample_bytree': 0.6115670395302981}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:08:16,299] Trial 80 finished with value: 0.8192260583663262 and parameters: {'max_depth': 28, 'learning_rate': 0.02117218639481213, 'n_estimators': 88, 'gamma': 0.37679414922862614, 'min_child_weight': 6, 'subsample': 0.855107378087709, 'colsample_bytree': 0.8963515722254701}. Best is trial 22 with value: 0.8198546553005741.
