[I 2025-04-07 22:55:01,435] Trial 0 finished with value: 0.8157458163536072 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:55:22,002] Trial 1 finished with value: 0.8082843842751479 and parameters: {'n_estimators': 50, 'learning_rate': 1.0844377339212297, 'criterion': 'log_loss', 'max_depth': 3, 'min_samples_split': 22, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:56:05,873] Trial 2 finished with value: 0.7708045534661486 and parameters: {'n_estimators': 22, 'learning_rate': 0.00019364289395753484, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 8, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:57:23,601] Trial 3 finished with value: 0.782878338174642 and parameters: {'n_estimators': 47, 'learning_rate': 8.233095721108228, 'criterion': 'gini', 'max_depth': 23, 'min_samples_split': 2, 'min_samples_leaf': 25}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:57:37,992] Trial 4 finished with value: 0.7950774697264441 and parameters: {'n_estimators': 20, 'learning_rate': 0.0004252739220574571, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 35, 'min_samples_leaf': 11}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:58:13,912] Trial 5 finished with value: 0.7942398969530508 and parameters: {'n_estimators': 22, 'learning_rate': 0.0008328427264207291, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:58:26,264] Trial 6 finished with value: 0.7542439914174404 and parameters: {'n_estimators': 28, 'learning_rate': 7.970536635574656, 'criterion': 'log_loss', 'max_depth': 3, 'min_samples_split': 63, 'min_samples_leaf': 20}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 22:59:14,579] Trial 7 finished with value: 0.7995221953358251 and parameters: {'n_estimators': 30, 'learning_rate': 0.0006651132510740851, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 45, 'min_samples_leaf': 22}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 23:00:57,440] Trial 8 finished with value: 0.8091222030678609 and parameters: {'n_estimators': 63, 'learning_rate': 0.00598237551369702, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 56, 'min_samples_leaf': 27}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 23:02:30,928] Trial 9 finished with value: 0.7827945334507197 and parameters: {'n_estimators': 45, 'learning_rate': 1.1612605509052372, 'criterion': 'entropy', 'max_depth': 25, 'min_samples_split': 35, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8157458163536072.
[I 2025-04-07 23:04:05,002] Trial 10 finished with value: 0.8149916617023483 and parameters: {'n_estimators': 63, 'learning_rate': 0.062130917236488184, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 49, 'min_samples_leaf': 14}. Best is trial 0 with value: 0.8157458163536072.
