[I 2025-04-08 00:10:28,845] A new study created in RDB with name: lightgbm-num_features-13
[I 2025-04-08 00:12:23,737] Trial 53 finished with value: 0.8201901729340089 and parameters: {'lambda_l1': 3.8024360583955955e-07, 'lambda_l2': 0.0015078255532156382, 'num_leaves': 45, 'feature_fraction': 0.546259782769223, 'bagging_fraction': 0.9123031467104645, 'bagging_freq': 2, 'min_child_samples': 55}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:25,178] Trial 54 finished with value: 0.8187646667053269 and parameters: {'lambda_l1': 4.4277061189639187e-07, 'lambda_l2': 0.002750756376095807, 'num_leaves': 33, 'feature_fraction': 0.5786688799956121, 'bagging_fraction': 0.8771682309247812, 'bagging_freq': 2, 'min_child_samples': 40}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:27,263] Trial 55 finished with value: 0.8179684076048087 and parameters: {'lambda_l1': 1.5465728737152204e-08, 'lambda_l2': 0.0007577073809089599, 'num_leaves': 46, 'feature_fraction': 0.5592725090270708, 'bagging_fraction': 0.9115655045806618, 'bagging_freq': 1, 'min_child_samples': 64}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:28,945] Trial 56 finished with value: 0.8204417101154358 and parameters: {'lambda_l1': 6.295251717503706e-08, 'lambda_l2': 0.016808972980000312, 'num_leaves': 39, 'feature_fraction': 0.6319910191213579, 'bagging_fraction': 0.8371167420342912, 'bagging_freq': 3, 'min_child_samples': 80}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:30,136] Trial 57 finished with value: 0.8187228258481956 and parameters: {'lambda_l1': 7.728406668428971e-08, 'lambda_l2': 0.057036884322931365, 'num_leaves': 22, 'feature_fraction': 0.6343220708919168, 'bagging_fraction': 0.8323783840958944, 'bagging_freq': 2, 'min_child_samples': 103}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:31,773] Trial 58 finished with value: 0.8194772440915825 and parameters: {'lambda_l1': 3.0921814193701848e-09, 'lambda_l2': 0.009167736579069517, 'num_leaves': 38, 'feature_fraction': 0.9922168707451486, 'bagging_fraction': 0.7879288273017643, 'bagging_freq': 5, 'min_child_samples': 120}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:36,307] Trial 59 finished with value: 0.8163749931905369 and parameters: {'lambda_l1': 2.4306623682563745e-08, 'lambda_l2': 0.017282297372685922, 'num_leaves': 126, 'feature_fraction': 0.7314460550573968, 'bagging_fraction': 0.9438567016718183, 'bagging_freq': 1, 'min_child_samples': 26}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:37,789] Trial 60 finished with value: 0.8195193485408419 and parameters: {'lambda_l1': 9.80376010835113e-07, 'lambda_l2': 0.2706726609093808, 'num_leaves': 26, 'feature_fraction': 0.6006427681707197, 'bagging_fraction': 0.8740693849686733, 'bagging_freq': 14, 'min_child_samples': 85}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:39,690] Trial 61 finished with value: 0.8191420076230843 and parameters: {'lambda_l1': 3.2665348586559495e-07, 'lambda_l2': 0.001669958038516806, 'num_leaves': 42, 'feature_fraction': 0.5455499413762588, 'bagging_fraction': 0.8471320200593555, 'bagging_freq': 3, 'min_child_samples': 78}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:41,651] Trial 62 finished with value: 0.8191000261834848 and parameters: {'lambda_l1': 1.1223751044386023e-09, 'lambda_l2': 0.00023132163754198287, 'num_leaves': 47, 'feature_fraction': 0.5881236622369688, 'bagging_fraction': 0.8994391893258044, 'bagging_freq': 3, 'min_child_samples': 71}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:43,129] Trial 63 finished with value: 0.8198966367401738 and parameters: {'lambda_l1': 2.3871481459391044e-05, 'lambda_l2': 0.0017932585281148622, 'num_leaves': 29, 'feature_fraction': 0.630631269794007, 'bagging_fraction': 0.7703783938496265, 'bagging_freq': 2, 'min_child_samples': 93}. Best is trial 27 with value: 0.8206513185756888.
