[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:33:48,881] Trial 48 finished with value: 0.8062715596394764 and parameters: {'max_depth': 18, 'learning_rate': 0.11488717043587085, 'n_estimators': 262, 'gamma': 0.3434970880878478, 'min_child_weight': 4, 'subsample': 0.6347546080282231, 'colsample_bytree': 0.9254044599187367}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:50,983] Trial 49 finished with value: 0.6377394866279713 and parameters: {'max_depth': 6, 'learning_rate': 0.0013963957620989561, 'n_estimators': 196, 'gamma': 0.1340331114104533, 'min_child_weight': 3, 'subsample': 0.5684028299410725, 'colsample_bytree': 0.7971466849488665}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:56,187] Trial 50 finished with value: 0.8196032411288069 and parameters: {'max_depth': 31, 'learning_rate': 0.019925755697230766, 'n_estimators': 223, 'gamma': 0.08909528866423208, 'min_child_weight': 7, 'subsample': 0.5146082979394503, 'colsample_bytree': 0.8688043090155608}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:01,858] Trial 51 finished with value: 0.8194774022468593 and parameters: {'max_depth': 30, 'learning_rate': 0.022086019506864323, 'n_estimators': 226, 'gamma': 0.07415085961061937, 'min_child_weight': 7, 'subsample': 0.5052432269196431, 'colsample_bytree': 0.8760516027876364}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:07,237] Trial 52 finished with value: 0.8199806699106071 and parameters: {'max_depth': 31, 'learning_rate': 0.010327472650385219, 'n_estimators': 251, 'gamma': 0.07641788705387723, 'min_child_weight': 7, 'subsample': 0.527063205597941, 'colsample_bytree': 0.8541844000653499}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:13,563] Trial 53 finished with value: 0.8201482090672177 and parameters: {'max_depth': 28, 'learning_rate': 0.010416298080349709, 'n_estimators': 250, 'gamma': 0.030849499643196387, 'min_child_weight': 6, 'subsample': 0.5395931345015323, 'colsample_bytree': 0.8280620493129067}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:19,353] Trial 54 finished with value: 0.8153271617629745 and parameters: {'max_depth': 27, 'learning_rate': 0.010068846546643662, 'n_estimators': 256, 'gamma': 0.027138885934409107, 'min_child_weight': 7, 'subsample': 0.5405242108927394, 'colsample_bytree': 0.5450991412202071}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:26,900] Trial 55 finished with value: 0.8158720769829596 and parameters: {'max_depth': 28, 'learning_rate': 0.005589087419786658, 'n_estimators': 274, 'gamma': 0.03550728484319443, 'min_child_weight': 6, 'subsample': 0.5715446677976583, 'colsample_bytree': 0.8238738837143061}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:32,870] Trial 56 finished with value: 0.8201481914944093 and parameters: {'max_depth': 32, 'learning_rate': 0.010468556278877474, 'n_estimators': 237, 'gamma': 0.07206066815160342, 'min_child_weight': 6, 'subsample': 0.5494721509686901, 'colsample_bytree': 0.898350959194883}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:38,539] Trial 57 finished with value: 0.8175909963958169 and parameters: {'max_depth': 31, 'learning_rate': 0.006671058822904986, 'n_estimators': 236, 'gamma': 0.06631921124945755, 'min_child_weight': 6, 'subsample': 0.5026324239269963, 'colsample_bytree': 0.9139707085252422}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:45,088] Trial 58 finished with value: 0.8119731628067994 and parameters: {'max_depth': 32, 'learning_rate': 0.00394308657240293, 'n_estimators': 281, 'gamma': 0.04645800858696256, 'min_child_weight': 7, 'subsample': 0.5480191631683656, 'colsample_bytree': 0.9034135378986197}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:51,598] Trial 59 finished with value: 0.8206931770056286 and parameters: {'max_depth': 30, 'learning_rate': 0.010446009562801405, 'n_estimators': 261, 'gamma': 0.09572258212863544, 'min_child_weight': 6, 'subsample': 0.5303416285837457, 'colsample_bytree': 0.8906571386022281}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:34:57,281] Trial 60 finished with value: 0.7495073638854183 and parameters: {'max_depth': 29, 'learning_rate': 0.0017540702485062596, 'n_estimators': 262, 'gamma': 0.08926079451588179, 'min_child_weight': 6, 'subsample': 0.5242393543308945, 'colsample_bytree': 0.8927698933023174}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:03,560] Trial 61 finished with value: 0.8199387411894332 and parameters: {'max_depth': 31, 'learning_rate': 0.012357971737448242, 'n_estimators': 251, 'gamma': 0.12471960265977047, 'min_child_weight': 6, 'subsample': 0.5498846044966637, 'colsample_bytree': 0.8595161974354714}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:09,414] Trial 62 finished with value: 0.8195614881357182 and parameters: {'max_depth': 26, 'learning_rate': 0.007999047403521795, 'n_estimators': 239, 'gamma': 0.015021148681208657, 'min_child_weight': 6, 'subsample': 0.5659061524306499, 'colsample_bytree': 0.9184629803421577}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:16,000] Trial 63 finished with value: 0.820106350637278 and parameters: {'max_depth': 30, 'learning_rate': 0.011266997165063675, 'n_estimators': 267, 'gamma': 0.10257501160036733, 'min_child_weight': 7, 'subsample': 0.5850055415256674, 'colsample_bytree': 0.8955655137718519}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:22,985] Trial 64 finished with value: 0.817716782559339 and parameters: {'max_depth': 30, 'learning_rate': 0.02911196222171367, 'n_estimators': 289, 'gamma': 0.05159414556283422, 'min_child_weight': 7, 'subsample': 0.588998755282387, 'colsample_bytree': 0.8969978219577929}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:28,333] Trial 65 finished with value: 0.6377394866279713 and parameters: {'max_depth': 30, 'learning_rate': 8.666909511437951e-05, 'n_estimators': 270, 'gamma': 0.10130247220990517, 'min_child_weight': 7, 'subsample': 0.5142377706318989, 'colsample_bytree': 0.9593905423701555}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:34,728] Trial 66 finished with value: 0.8159139354128995 and parameters: {'max_depth': 28, 'learning_rate': 0.0053790677289407025, 'n_estimators': 265, 'gamma': 0.07736087055931602, 'min_child_weight': 7, 'subsample': 0.5349166742665636, 'colsample_bytree': 0.9398816299077251}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:42,944] Trial 67 finished with value: 0.8187228258481956 and parameters: {'max_depth': 32, 'learning_rate': 0.011241324946648989, 'n_estimators': 277, 'gamma': 0.1300916200655249, 'min_child_weight': 6, 'subsample': 0.9151263462421639, 'colsample_bytree': 0.9752608781839229}. Best is trial 0 with value: 0.8209028733299242.
