[I 2025-04-07 22:00:09,568] A new study created in RDB with name: catboost-num_features-13
[I 2025-04-07 22:19:47,342] Trial 30 finished with value: 0.7772179959617687 and parameters: {'iterations': 132, 'learning_rate': 0.014935824891900802, 'objective': 'Logloss', 'colsample_bylevel': 0.3330624213348762, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.523250469722965}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:19:56,422] Trial 31 finished with value: 0.8178844447256093 and parameters: {'iterations': 143, 'learning_rate': 0.3211656550730264, 'objective': 'Logloss', 'colsample_bylevel': 0.6876914492809828, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.5668040491881311}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:20:04,698] Trial 32 finished with value: 0.8162075243251602 and parameters: {'iterations': 118, 'learning_rate': 0.11680126466212182, 'objective': 'Logloss', 'colsample_bylevel': 0.6536968321356079, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.5477056633042676}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:20:18,687] Trial 33 finished with value: 0.8176325385152031 and parameters: {'iterations': 101, 'learning_rate': 0.2849167902977965, 'objective': 'Logloss', 'colsample_bylevel': 0.7907144230475074, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.4997005222889031}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:20:30,038] Trial 34 finished with value: 0.7921433554574994 and parameters: {'iterations': 101, 'learning_rate': 0.001059538056695618, 'objective': 'Logloss', 'colsample_bylevel': 0.901776400978042, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.46192778543611074}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:20:35,958] A new study created in RDB with name: catboost-num_features-11
[I 2025-04-07 22:21:37,815] Trial 0 finished with value: 0.8191419373318503 and parameters: {'iterations': 164, 'learning_rate': 0.21452421430497562, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5744820300507832, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9337456176876163}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:22:17,050] Trial 1 finished with value: 0.814530111886072 and parameters: {'iterations': 199, 'learning_rate': 0.5750839071124338, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4571889558740053, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7453669401735203}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:22:23,222] Trial 2 finished with value: 0.8007796703692573 and parameters: {'iterations': 219, 'learning_rate': 0.019356226473805912, 'objective': 'Logloss', 'colsample_bylevel': 0.979615747989809, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.642908614453517}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:22:25,573] Trial 3 finished with value: 0.7525248962764977 and parameters: {'iterations': 173, 'learning_rate': 0.0012485797795400192, 'objective': 'Logloss', 'colsample_bylevel': 0.2109193972121691, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.343148020995503}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:24:11,649] Trial 4 finished with value: 0.8187227731297699 and parameters: {'iterations': 224, 'learning_rate': 0.15810553479523431, 'objective': 'Logloss', 'colsample_bylevel': 0.40912145756469975, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4690901607317448}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:24:27,957] Trial 5 finished with value: 0.7967124438329106 and parameters: {'iterations': 237, 'learning_rate': 0.5051675375150488, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.47883605006548324, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.41517617961568365}. Best is trial 0 with value: 0.8191419373318503.
[I 2025-04-07 22:24:41,806] Trial 6 finished with value: 0.7943654019516362 and parameters: {'iterations': 111, 'learning_rate': 0.0040998900243148645, 'objective': 'Logloss', 'colsample_bylevel': 0.7482493862853942, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.6587504125182886}. Best is trial 0 with value: 0.8191419373318503.
